type,name,id,timestamp,notes
INFO,Created on 2025-08-13 10:05:17,,,
MODEL,COPD,01K2GJSCRMF9DKR3NSK376VFPK,2025-08-13 10:05:18,
SCENARIO,COPD - Baseline Scenario,01K2GJSDP8WFK41EBCWJX1W3PY,2025-08-13 10:05:19,
SCENARIO,Clinical Intervention - Oral Prednisolone,01K2GJSE6KWHDBH5RWSR67ZX49,2025-08-13 10:05:19,
SCENARIO,COPD - Null Scenario,01K2GJSES9SSVMYEB2XAX8RSB4,2025-08-13 10:05:20,
SCENARIO,Appendix 3 - Tobacco 1 - Increase excise taxes and prices,01K2GJSF9GWNPH8F24XAFH4CZH,2025-08-13 10:05:20,
SCENARIO,Clinical Intervention - Ipratropium Inhaler,01K2GJSFQHSQKS7AHA9542J66J,2025-08-13 10:05:21,
SCENARIO,Appendix 3 - CR4 Scenario,01K2GJSG615MCP76HDDB7WVT5Q,2025-08-13 10:05:21,
SCENARIO,Appendix 3 - Tobacco 2 - Warning labels and standardized packaging,01K2GJSGMPX93DJC2HQVP9RYKJ,2025-08-13 10:05:22,
SCENARIO,Appendix 3 - Tobacco 3 - Advertising and promotion bans,01K2GJSH5ST0G5YQXGJWDYYE9R,2025-08-13 10:05:22,
SCENARIO,Clinical Intervention - Inhaled Salbutamol,01K2GJSHNS5E3E6S2TRNPS4FQH,2025-08-13 10:05:23,
SCENARIO,Appendix 3 - Tobacco 6 - Cessation support services,01K2GJSJ4E8H3X6134RNME85A9,2025-08-13 10:05:23,
SCENARIO,Appendix 3 - Tobacco 7 - Pharmacological cessation aids,01K2GJSJKNM1JCWMHG53SR60SY,2025-08-13 10:05:24,
SCENARIO,Appendix 3 - CR2 Scenario,01K2GJSK7REMTPX5BRWD9ATWS7,2025-08-13 10:05:24,
SCENARIO,Appendix 3 - Tobacco 4 - Smoke-free environments,01K2GJSKP770M7EBT162RMNMN4,2025-08-13 10:05:25,
SCENARIO,Appendix 3 - Tobacco 5 - Mass media campaigns,01K2GJSM4BM9B80V0RGRKXKZNS,2025-08-13 10:05:25,
