country,scenario,metric,year,value,cum_value
AFG,copd_cr2,deaths averted,2025-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2026-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2027-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2028-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2029-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2030-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2031-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2032-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2033-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2034-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2035-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2036-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2037-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2038-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2039-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2040-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2041-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2042-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2043-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2044-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2045-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2046-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2047-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2048-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2049-01-01,0.0,0.0
AFG,copd_cr2,deaths averted,2050-01-01,0.0,0.0
AFG,copd_cr2,economic benefit,2025-01-01,0.0,0.0
AFG,copd_cr2,economic benefit,2026-01-01,1017609.2912626266,1017609.2912626266
AFG,copd_cr2,economic benefit,2027-01-01,2042831.9068717957,3060441.1981344223
AFG,copd_cr2,economic benefit,2028-01-01,2050721.1499300003,5111162.348064423
AFG,copd_cr2,economic benefit,2029-01-01,2058216.1413736343,7169378.489438057
AFG,copd_cr2,economic benefit,2030-01-01,2065609.9132089615,9234988.402647018
AFG,copd_cr2,economic benefit,2031-01-01,2073134.1811380386,11308122.583785057
AFG,copd_cr2,economic benefit,2032-01-01,2080047.5088682175,13388170.092653275
AFG,copd_cr2,economic benefit,2033-01-01,2086612.818567276,15474782.91122055
AFG,copd_cr2,economic benefit,2034-01-01,2092494.6525850296,17567277.56380558
AFG,copd_cr2,economic benefit,2035-01-01,2097959.250541687,19665236.814347267
AFG,copd_cr2,economic benefit,2036-01-01,2102197.8377656937,21767434.65211296
AFG,copd_cr2,economic benefit,2037-01-01,2106285.161632538,23873719.8137455
AFG,copd_cr2,economic benefit,2038-01-01,2110190.873805046,25983910.687550545
AFG,copd_cr2,economic benefit,2039-01-01,2113756.4056282043,28097667.09317875
AFG,copd_cr2,economic benefit,2040-01-01,2116452.1573848724,30214119.25056362
AFG,copd_cr2,economic benefit,2041-01-01,2120386.886408806,32334506.136972427
AFG,copd_cr2,economic benefit,2042-01-01,2123333.9731235504,34457840.11009598
AFG,copd_cr2,economic benefit,2043-01-01,2125171.0580415726,36583011.16813755
AFG,copd_cr2,economic benefit,2044-01-01,2125834.4010038376,38708845.56914139
AFG,copd_cr2,economic benefit,2045-01-01,2125085.402451992,40833930.97159338
AFG,copd_cr2,economic benefit,2046-01-01,2124199.656384945,42958130.627978325
AFG,copd_cr2,economic benefit,2047-01-01,2122058.742339611,45080189.370317936
AFG,copd_cr2,economic benefit,2048-01-01,2118670.641710758,47198860.012028694
AFG,copd_cr2,economic benefit,2049-01-01,2113607.2248268127,49312467.23685551
AFG,copd_cr2,economic benefit,2050-01-01,2106750.9297556877,51419218.166611195
AFG,copd_cr2,healthy years lived,2025-01-01,0.0,0.0
AFG,copd_cr2,healthy years lived,2026-01-01,6029.729999996722,6029.729999996722
AFG,copd_cr2,healthy years lived,2027-01-01,12457.109999999404,18486.839999996126
AFG,copd_cr2,healthy years lived,2028-01-01,12864.0,31350.839999996126
AFG,copd_cr2,healthy years lived,2029-01-01,13280.380000002682,44631.21999999881
AFG,copd_cr2,healthy years lived,2030-01-01,13706.259999997914,58337.47999999672
AFG,copd_cr2,healthy years lived,2031-01-01,14146.240000002086,72483.71999999881
AFG,copd_cr2,healthy years lived,2032-01-01,14596.240000002086,87079.9600000009
AFG,copd_cr2,healthy years lived,2033-01-01,15056.80000000447,102136.76000000536
AFG,copd_cr2,healthy years lived,2034-01-01,15528.390000000596,117665.15000000596
AFG,copd_cr2,healthy years lived,2035-01-01,16011.019999995828,133676.1700000018
AFG,copd_cr2,healthy years lived,2036-01-01,16522.589999996126,150198.7599999979
AFG,copd_cr2,healthy years lived,2037-01-01,17048.260000005364,167247.02000000328
AFG,copd_cr2,healthy years lived,2038-01-01,17587.679999999702,184834.70000000298
AFG,copd_cr2,healthy years lived,2039-01-01,18141.140000000596,202975.84000000358
AFG,copd_cr2,healthy years lived,2040-01-01,18707.710000000894,221683.55000000447
AFG,copd_cr2,healthy years lived,2041-01-01,19290.940000005066,240974.49000000954
AFG,copd_cr2,healthy years lived,2042-01-01,19887.289999999106,260861.78000000864
AFG,copd_cr2,healthy years lived,2043-01-01,20496.070000000298,281357.85000000894
AFG,copd_cr2,healthy years lived,2044-01-01,21116.980000004172,302474.8300000131
AFG,copd_cr2,healthy years lived,2045-01-01,21749.559999994934,324224.39000000805
AFG,copd_cr2,healthy years lived,2046-01-01,22405.87999999523,346630.2700000033
AFG,copd_cr2,healthy years lived,2047-01-01,23075.39999999851,369705.6700000018
AFG,copd_cr2,healthy years lived,2048-01-01,23757.380000002682,393463.05000000447
AFG,copd_cr2,healthy years lived,2049-01-01,24449.179999999702,417912.2300000042
AFG,copd_cr2,healthy years lived,2050-01-01,25150.030000001192,443062.26000000536
AFG,copd_cr2,incremental costs,2025-01-01,9778711.877,9778711.877
AFG,copd_cr2,incremental costs,2026-01-01,9702851.624271845,19481563.501271844
AFG,copd_cr2,incremental costs,2027-01-01,9622472.264492413,29104035.76576426
AFG,copd_cr2,incremental costs,2028-01-01,9537886.306094753,38641922.07185901
AFG,copd_cr2,incremental costs,2029-01-01,9449502.071156599,48091424.14301561
AFG,copd_cr2,incremental costs,2030-01-01,9357840.161266858,57449264.304282464
AFG,copd_cr2,incremental costs,2031-01-01,9261718.678777657,66710982.98306012
AFG,copd_cr2,incremental costs,2032-01-01,9163109.302031446,75874092.28509156
AFG,copd_cr2,incremental costs,2033-01-01,9060269.473390011,84934361.75848158
AFG,copd_cr2,incremental costs,2034-01-01,8954476.234950751,93888837.99343233
AFG,copd_cr2,incremental costs,2035-01-01,8845506.890839124,102734344.88427146
AFG,copd_cr2,incremental costs,2036-01-01,8734995.643671086,111469340.52794254
AFG,copd_cr2,incremental costs,2037-01-01,8622900.17591595,120092240.7038585
AFG,copd_cr2,incremental costs,2038-01-01,8508322.82538,128600563.52923849
AFG,copd_cr2,incremental costs,2039-01-01,8391856.98079225,136992420.51003075
AFG,copd_cr2,incremental costs,2040-01-01,8274015.567748729,145266436.07777947
AFG,copd_cr2,incremental costs,2041-01-01,8154326.9058911335,153420762.9836706
AFG,copd_cr2,incremental costs,2042-01-01,8033761.083923561,161454524.06759414
AFG,copd_cr2,incremental costs,2043-01-01,7911411.869662942,169365935.93725708
AFG,copd_cr2,incremental costs,2044-01-01,7788575.05569129,177154510.99294838
AFG,copd_cr2,incremental costs,2045-01-01,7664458.708454774,184818969.70140317
AFG,copd_cr2,incremental costs,2046-01-01,7539772.977841235,192358742.6792444
AFG,copd_cr2,incremental costs,2047-01-01,7413805.2555555655,199772547.93479997
AFG,copd_cr2,incremental costs,2048-01-01,7287082.543237657,207059630.47803763
AFG,copd_cr2,incremental costs,2049-01-01,7159649.163260447,214219279.6412981
AFG,copd_cr2,incremental costs,2050-01-01,7031931.975628155,221251211.61692625
AFG,copd_cr4,deaths averted,2025-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2026-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2027-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2028-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2029-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2030-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2031-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2032-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2033-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2034-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2035-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2036-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2037-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2038-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2039-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2040-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2041-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2042-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2043-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2044-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2045-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2046-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2047-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2048-01-01,0.0,0.0
AFG,copd_cr4,deaths averted,2049-01-01,0.0,0.0
